college,rec,w_rec,offer_rank,commit_rank,year
alabama,0.17747440273037543,0.17738734611848067,0.9216730337078654,0.9211769230769231,2016
georgia,0.1875,0.18674284834880978,0.917051231527094,0.9129666666666667,2016
ucla,0.25806451612903225,0.25154900776649813,0.9106936507936507,0.8843928571428571,2016
usc,0.28187919463087246,0.2781395754326315,0.9258093749999998,0.9115428571428574,2016
alabama,0.19727891156462585,0.19970166376433932,0.9249803773584909,0.9375999999999999,2017
georgia,0.2157676348547718,0.215655075574925,0.9232167441860463,0.922676923076923,2017
ucla,0.18181818181818182,0.175640375799775,0.9118027777777779,0.8778388888888888,2017
usc,0.22018348623853212,0.22005159181133338,0.9199567010309272,0.9193375,2017
alabama,0.14666666666666667,0.14586380876387148,0.9248701438848916,0.9194090909090911,2018
georgia,0.1625,0.16635580774320494,0.9185690476190472,0.9423423076923078,2018
ucla,0.216,0.2090989196756854,0.9054775784753365,0.8731703703703704,2018
usc,0.20689655172413793,0.21022840297629708,0.9256807692307694,0.9423388888888888,2018
alabama,0.17197452229299362,0.1752153869056726,0.9246644599303135,0.943762962962963,2019
georgia,0.15483870967741936,0.15725875675510578,0.9176339160839165,0.9332000000000003,2019
ucla,0.3684210526315789,0.3559736434507219,0.8936591397849465,0.8569285714285716,2019
usc,0.21800947867298578,0.2115455221024414,0.9159393617021274,0.8855695652173913,2019
alabama,0.17793594306049823,0.1795208570500829,0.9263828124999995,0.935448,2020
georgia,0.1694915254237288,0.17121348487633864,0.9192662962962962,0.92948,2020
ucla,0.31746031746031744,0.3105288443507007,0.8924216981132079,0.869355,2020
usc,0.125,0.11990107643703629,0.9133233333333332,0.8736916666666668,2020
alabama,0.21862348178137653,0.2224671188056597,0.9322150000000005,0.9506555555555558,2021
georgia,0.14925373134328357,0.15089513241768385,0.924873790322581,0.9358749999999999,2021
ucla,0.3185840707964602,0.31219148260065493,0.9001473684210525,0.8787444444444444,2021
usc,0.20952380952380953,0.20877887935192438,0.9234978723404255,0.9198318181818181,2021
alabama,0.20161290322580644,0.20485215309831903,0.935922869955157,0.9526760000000002,2022
georgia,0.23255813953488372,0.23332070653223722,0.9266302631578944,0.93007,2022
ucla,0.2716049382716049,0.2670706084623261,0.9078557142857147,0.8903636363636364,2022
usc,0.06324110671936758,0.06319227802069298,0.9237865306122445,0.9230499999999999,2022
